,supermercado,precio
0,Alcampo,5.88
1,Alcampo,2.99
2,Alcampo,3.06
3,Alcampo,1.88
4,Alcampo,1.89
5,Alcampo,1.98
6,Alcampo,1.99
7,Alcampo,2.10
8,Alcampo,2.17
9,Alcampo,2.22
10,Alcampo,2.33
11,Alcampo,2.84
12,Alcampo,2.90
13,Alcampo,2.91
14,Alcampo,3.10
15,Alcampo,1.44
16,Alcampo,1.49
17,Alcampo,1.69
18,Alcampo,1.73
19,Alcampo,1.75
20,Alcampo,1.88
21,Alcampo,2.34
22,Alcampo,2.48
23,Alcampo,2.49
24,Alcampo,2.64
25,Alcampo,1.00
26,Alcampo,5.58
27,Alcampo,7.44
28,Alcampo,7.78
29,Alcampo,7.94
30,Alcampo,7.95
31,Alcampo,7.98
32,Alcampo,8.71
33,Alcampo,9.49
34,Alcampo,10.28
35,Alcampo,10.85
36,Alcampo,10.89
37,Alcampo,11.09
38,Alcampo,1.27
39,Alcampo,1.59
40,Alcampo,1.65
41,Alcampo,1.82
42,Alcampo,2.18
43,Alcampo,2.27
44,Alcampo,2.29
45,Alcampo,3.79
46,Alcampo,1.29
47,Alcampo,1.39
48,Alcampo,2.19
49,Alcampo,2.34
50,Alcampo,15.88
51,Alcampo,1.89
52,Alcampo,1.94
53,Alcampo,1.45
54,Alcampo,1.48
55,Alcampo,1.49
56,Alcampo,6.75
57,Alcampo,6.89
58,Alcampo,6.92
59,Alcampo,1.79
60,Alcampo,1.83
61,Alcampo,1.89
62,Alcampo,14.99
63,Carrefour,21.40
64,Carrefour,21.90
65,Carrefour,1.45
66,Carrefour,1.48
67,Carrefour,10.05
68,Carrefour,10.55
69,Carrefour,10.79
70,Carrefour,1.77
71,Carrefour,1.99
72,Carrefour,2.29
73,Carrefour,2.35
74,Carrefour,12.35
75,Carrefour,12.65
76,Carrefour,2.69
77,Carrefour,2.75
78,Carrefour,6.75
79,Carrefour,6.89
80,Carrefour,2.49
81,Carrefour,2.52
82,Carrefour,2.59
83,Carrefour,2.65
84,Carrefour,1.71
85,Carrefour,1.74
86,Carrefour,1.79
87,Carrefour,1.83
88,Carrefour,2.15
89,Carrefour,2.39
90,Carrefour,2.49
91,Carrefour,2.59
92,Carrefour,7.95
93,Carrefour,8.55
94,Carrefour,8.69
95,Carrefour,8.95
96,Carrefour,9.15
97,Carrefour,10.75
98,Carrefour,10.89
99,Carrefour,2.29
100,Carrefour,2.39
101,Carrefour,2.49
102,Carrefour,2.55
103,Carrefour,6.75
104,Carrefour,6.89
105,Carrefour,6.79
106,Carrefour,6.95
107,Carrefour,2.05
108,Carrefour,2.15
109,Carrefour,2.19
110,Carrefour,35.76
111,Carrefour,37.04
112,Carrefour,39.00
113,Carrefour,40.67
114,Dia,1.99
115,Dia,2.04
116,Dia,9.75
117,Dia,9.98
118,Dia,10.99
119,Dia,1.80
120,Dia,2.69
121,Dia,2.75
122,Dia,1.71
123,Dia,1.75
124,Dia,2.59
125,Dia,2.65
126,Dia,8.75
127,Dia,8.96
128,Dia,9.39
129,Dia,1.49
130,Dia,1.53
131,Dia,6.99
132,Dia,7.16
133,Eroski,1.89
134,Eroski,1.94
135,Eroski,2.45
136,Eroski,2.51
137,Eroski,1.54
138,Eroski,1.59
139,Eroski,1.63
140,Eroski,6.75
141,Eroski,6.85
142,Eroski,6.91
143,Eroski,7.01
144,Eroski,1.79
145,Eroski,3.05
146,Eroski,3.12
147,Eroski,2.33
148,Eroski,2.39
149,Eroski,2.45
150,Eroski,2.49
151,Eroski,2.55
152,Eroski,4.49
153,Eroski,4.89
154,Eroski,7.10
155,Eroski,7.27
156,Eroski,7.28
157,Eroski,7.45
158,Eroski,7.95
159,Eroski,11.71
160,Eroski,11.99
161,Eroski,1.45
162,Eroski,1.48
163,Eroski,1.69
164,Eroski,1.73
165,Eroski,1.99
166,Eroski,2.35
167,Eroski,2.52
168,Eroski,2.58
169,Eroski,2.59
170,Eroski,1.39
171,Eroski,1.49
172,Eroski,1.59
173,Eroski,1.99
174,Eroski,2.04
175,Eroski,2.39
176,Hipercor,1.40
177,Hipercor,1.41
178,Hipercor,1.43
179,Hipercor,2.45
180,Hipercor,2.49
181,Hipercor,2.50
182,Hipercor,2.99
183,Hipercor,3.06
184,Hipercor,3.25
185,Hipercor,3.32
186,Hipercor,3.39
187,Hipercor,3.81
188,Hipercor,3.90
189,Hipercor,3.99
190,Hipercor,2.99
191,Hipercor,3.06
192,Hipercor,3.11
193,Hipercor,2.09
194,Hipercor,2.29
195,Hipercor,2.39
196,Hipercor,2.44
197,Hipercor,1.45
198,Hipercor,1.48
199,Hipercor,6.75
200,Hipercor,6.91
201,Hipercor,2.99
202,Hipercor,3.17
203,Hipercor,3.24
204,Hipercor,2.50
205,Hipercor,2.55
206,Hipercor,2.39
207,Hipercor,2.44
208,Hipercor,7.99
209,Hipercor,8.15
210,Hipercor,8.18
211,Hipercor,12.50
212,Hipercor,12.79
213,Mercadona,1.45
214,Mercadona,1.48
215,Mercadona,6.75
216,Mercadona,6.91
