,supermercado,precio
0,Alcampo,57.13
1,Alcampo,58.27
2,Alcampo,6.59
3,Alcampo,6.72
4,Alcampo,7.28
5,Alcampo,7.44
6,Alcampo,6.59
7,Alcampo,6.72
8,Alcampo,6.95
9,Alcampo,7.28
10,Alcampo,7.44
11,Alcampo,9.76
12,Alcampo,10.13
13,Alcampo,10.27
14,Alcampo,10.33
15,Alcampo,4.29
16,Alcampo,10.23
17,Alcampo,10.43
18,Alcampo,11.41
19,Alcampo,11.64
20,Alcampo,9.51
21,Alcampo,9.51
22,Alcampo,9.70
23,Alcampo,11.75
24,Alcampo,11.75
25,Alcampo,7.35
26,Alcampo,7.65
27,Alcampo,10.16
28,Alcampo,10.82
29,Alcampo,11.71
30,Alcampo,12.65
31,Alcampo,2.83
32,Alcampo,2.98
33,Alcampo,3.13
34,Alcampo,3.19
35,Alcampo,3.28
36,Alcampo,3.29
37,Alcampo,3.35
38,Alcampo,7.35
39,Alcampo,7.65
40,Alcampo,8.55
41,Alcampo,8.98
42,Alcampo,9.75
43,Alcampo,10.13
44,Alcampo,10.68
45,Alcampo,10.82
46,Alcampo,12.65
47,Alcampo,12.75
48,Alcampo,21.68
49,Alcampo,23.69
50,Alcampo,38.45
51,Alcampo,40.59
52,Alcampo,40.60
53,Alcampo,41.63
54,Alcampo,42.12
55,Alcampo,43.04
56,Alcampo,46.26
57,Alcampo,52.15
58,Alcampo,12.25
59,Alcampo,12.26
60,Alcampo,12.51
61,Alcampo,13.75
62,Alcampo,14.03
63,Alcampo,14.18
64,Alcampo,14.26
65,Alcampo,9.44
66,Alcampo,10.70
67,Alcampo,14.18
68,Alcampo,12.86
69,Alcampo,12.98
70,Alcampo,13.66
71,Alcampo,13.78
72,Alcampo,14.17
73,Alcampo,14.88
74,Alcampo,36.73
75,Alcampo,40.99
76,Alcampo,50.57
77,Alcampo,52.57
78,Alcampo,55.20
79,Alcampo,3.74
80,Alcampo,3.81
81,Alcampo,3.97
82,Alcampo,36.95
83,Alcampo,36.99
84,Alcampo,37.99
85,Alcampo,44.48
86,Alcampo,44.70
87,Alcampo,46.94
88,Alcampo,7.35
89,Alcampo,10.82
90,Alcampo,3.95
91,Alcampo,4.02
92,Alcampo,6.62
93,Alcampo,7.61
94,Alcampo,7.76
95,Alcampo,8.65
96,Alcampo,8.78
97,Alcampo,9.28
98,Alcampo,10.19
99,Alcampo,10.36
100,Alcampo,10.88
101,Alcampo,60.94
102,Alcampo,9.44
103,Alcampo,9.63
104,Alcampo,9.46
105,Alcampo,9.59
106,Alcampo,9.78
107,Alcampo,37.99
108,Alcampo,41.66
109,Alcampo,43.74
110,Alcampo,45.53
111,Alcampo,47.93
112,Alcampo,62.99
113,Alcampo,6.99
114,Alcampo,7.59
115,Alcampo,11.88
116,Alcampo,12.12
117,Alcampo,12.32
118,Alcampo,6.99
119,Alcampo,7.59
120,Alcampo,11.31
121,Alcampo,11.54
122,Alcampo,11.51
123,Alcampo,11.74
124,Alcampo,35.95
125,Alcampo,52.37
126,Alcampo,53.42
127,Alcampo,14.14
128,Alcampo,15.57
129,Alcampo,12.93
130,Alcampo,13.06
131,Alcampo,13.11
132,Alcampo,13.18
133,Alcampo,13.19
134,Alcampo,13.77
135,Alcampo,13.94
136,Alcampo,14.98
137,Alcampo,12.99
138,Alcampo,13.03
139,Alcampo,13.25
140,Alcampo,12.59
141,Alcampo,12.93
142,Alcampo,13.06
143,Alcampo,13.11
144,Alcampo,13.94
145,Alcampo,11.87
146,Alcampo,13.11
147,Alcampo,13.37
148,Alcampo,13.77
149,Alcampo,13.94
150,Alcampo,12.85
151,Alcampo,12.98
152,Alcampo,13.06
153,Alcampo,13.11
154,Alcampo,13.24
155,Alcampo,13.77
156,Alcampo,13.94
157,Alcampo,14.98
158,Alcampo,7.99
159,Alcampo,55.71
160,Alcampo,17.13
161,Alcampo,42.84
162,Alcampo,9.17
163,Alcampo,9.35
164,Alcampo,10.46
165,Alcampo,8.56
166,Alcampo,8.73
167,Alcampo,46.65
168,Alcampo,47.58
169,Alcampo,14.90
170,Alcampo,16.57
171,Alcampo,16.90
172,Alcampo,6.36
173,Alcampo,10.46
174,Alcampo,6.69
175,Alcampo,6.99
176,Alcampo,9.49
177,Alcampo,9.51
178,Alcampo,9.68
179,Alcampo,6.69
180,Alcampo,6.99
181,Alcampo,9.49
182,Alcampo,9.68
183,Alcampo,10.46
184,Alcampo,10.99
185,Alcampo,38.08
186,Alcampo,39.95
187,Alcampo,47.60
188,Alcampo,49.99
189,Alcampo,35.95
190,Alcampo,36.95
191,Alcampo,39.90
192,Alcampo,11.26
193,Alcampo,9.13
194,Alcampo,9.74
195,Alcampo,11.41
196,Alcampo,12.37
197,Alcampo,32.95
198,Alcampo,35.95
199,Alcampo,38.04
200,Alcampo,39.95
201,Alcampo,47.60
202,Alcampo,6.99
203,Alcampo,7.95
204,Alcampo,8.35
205,Alcampo,9.78
206,Alcampo,9.99
207,Alcampo,11.83
208,Alcampo,6.99
209,Alcampo,7.95
210,Alcampo,8.35
211,Alcampo,9.78
212,Alcampo,9.99
213,Alcampo,11.83
214,Alcampo,32.95
215,Alcampo,35.95
216,Alcampo,38.04
217,Alcampo,39.95
218,Alcampo,44.99
219,Alcampo,46.65
220,Alcampo,52.37
221,Alcampo,55.78
222,Alcampo,9.46
223,Alcampo,9.65
224,Alcampo,37.99
225,Alcampo,39.95
226,Alcampo,41.45
227,Alcampo,43.75
228,Alcampo,49.51
229,Alcampo,51.99
230,Alcampo,57.13
231,Alcampo,58.27
232,Alcampo,6.99
233,Alcampo,7.29
234,Alcampo,7.57
235,Alcampo,8.29
236,Alcampo,8.46
237,Alcampo,8.74
238,Alcampo,8.91
239,Alcampo,9.18
240,Alcampo,20.37
241,Alcampo,22.65
242,Alcampo,24.41
243,Alcampo,26.75
244,Alcampo,27.29
245,Alcampo,35.95
246,Alcampo,41.03
247,Alcampo,41.85
248,Alcampo,42.80
249,Alcampo,6.99
250,Alcampo,7.29
251,Alcampo,7.57
252,Alcampo,8.29
253,Alcampo,8.46
254,Alcampo,8.74
255,Alcampo,8.91
256,Alcampo,9.18
257,Alcampo,20.37
258,Alcampo,22.65
259,Alcampo,24.41
260,Alcampo,26.27
261,Alcampo,26.80
262,Alcampo,35.95
263,Alcampo,41.03
264,Alcampo,41.85
265,Alcampo,42.80
266,Alcampo,44.94
267,Alcampo,12.37
268,Alcampo,12.62
269,Alcampo,35.95
270,Alcampo,41.45
271,Alcampo,50.46
272,Alcampo,51.47
273,Alcampo,52.99
274,Alcampo,8.91
275,Alcampo,9.09
276,Alcampo,5.06
277,Alcampo,5.16
278,Alcampo,5.32
279,Alcampo,25.70
280,Alcampo,26.21
281,Alcampo,26.99
282,Alcampo,13.13
283,Alcampo,13.77
284,Alcampo,13.88
285,Alcampo,14.04
286,Alcampo,14.05
287,Alcampo,14.22
288,Alcampo,14.94
289,Alcampo,28.94
290,Alcampo,29.99
291,Alcampo,30.45
292,Alcampo,31.72
293,Alcampo,31.97
294,Alcampo,33.65
295,Alcampo,46.52
296,Alcampo,48.99
297,Alcampo,49.97
298,Alcampo,50.57
299,Alcampo,52.37
300,Alcampo,54.99
301,Alcampo,6.46
302,Alcampo,6.57
303,Alcampo,6.59
304,Alcampo,6.69
305,Alcampo,7.44
306,Alcampo,7.56
307,Alcampo,11.41
308,Alcampo,11.64
309,Alcampo,10.46
310,Alcampo,10.67
311,Alcampo,53.32
312,Alcampo,54.39
313,Alcampo,50.46
314,Alcampo,51.47
315,Alcampo,9.81
316,Alcampo,18.08
317,Alcampo,18.99
318,Alcampo,3.32
319,Alcampo,11.88
320,Alcampo,11.41
321,Alcampo,52.37
322,Alcampo,53.42
323,Alcampo,54.27
324,Alcampo,55.36
325,Alcampo,36.18
326,Alcampo,11.69
327,Alcampo,12.15
328,Alcampo,12.54
329,Alcampo,35.99
330,Alcampo,36.71
331,Alcampo,57.48
332,Alcampo,58.63
333,Alcampo,36.18
334,Alcampo,46.65
335,Alcampo,47.58
336,Alcampo,50.46
337,Alcampo,51.47
338,Alcampo,11.38
339,Alcampo,12.63
340,Alcampo,13.45
341,Alcampo,49.51
342,Alcampo,50.50
343,Alcampo,52.37
344,Alcampo,53.42
345,Alcampo,7.13
346,Alcampo,8.56
347,Alcampo,8.73
348,Alcampo,7.13
349,Alcampo,8.56
350,Alcampo,8.73
351,Alcampo,8.99
352,Alcampo,9.51
353,Alcampo,6.18
354,Alcampo,8.56
355,Alcampo,8.73
356,Alcampo,4.65
357,Alcampo,4.75
358,Alcampo,4.85
359,Alcampo,4.99
360,Alcampo,6.75
361,Alcampo,6.95
362,Alcampo,7.09
363,Alcampo,7.60
364,Alcampo,7.98
365,Alcampo,32.25
366,Alcampo,33.08
367,Alcampo,33.74
368,Alcampo,37.85
369,Alcampo,37.90
370,Alcampo,39.75
371,Alcampo,6.75
372,Alcampo,6.95
373,Alcampo,7.09
374,Alcampo,7.60
375,Alcampo,7.98
376,Alcampo,32.25
377,Alcampo,33.08
378,Alcampo,33.74
379,Alcampo,37.85
380,Alcampo,37.90
381,Alcampo,39.75
382,Alcampo,7.42
383,Alcampo,7.75
384,Alcampo,7.90
385,Alcampo,8.06
386,Alcampo,8.14
387,Alcampo,8.55
388,Alcampo,8.05
389,Alcampo,8.85
390,Alcampo,8.93
391,Alcampo,8.95
392,Alcampo,9.11
393,Alcampo,9.18
