,supermercado,precio
0,Alcampo,0.85
1,Alcampo,0.87
2,Alcampo,0.95
3,Alcampo,5.10
4,Alcampo,5.20
5,Alcampo,5.22
6,Alcampo,5.70
7,Alcampo,1.29
8,Alcampo,1.32
9,Alcampo,0.93
10,Alcampo,0.95
11,Alcampo,0.99
12,Alcampo,5.58
13,Alcampo,5.69
14,Alcampo,5.70
15,Alcampo,5.94
16,Alcampo,1.19
17,Alcampo,1.21
18,Alcampo,1.25
19,Alcampo,1.28
20,Alcampo,0.87
21,Alcampo,0.89
22,Alcampo,0.97
23,Alcampo,5.22
24,Alcampo,5.32
25,Alcampo,5.34
26,Alcampo,5.82
27,Alcampo,0.77
28,Alcampo,0.79
29,Alcampo,0.80
30,Alcampo,4.62
31,Alcampo,4.71
32,Alcampo,4.80
33,Alcampo,0.93
34,Alcampo,0.95
35,Alcampo,0.99
36,Alcampo,5.58
37,Alcampo,5.69
38,Alcampo,5.94
39,Alcampo,0.85
40,Alcampo,0.87
41,Alcampo,0.88
42,Alcampo,5.10
43,Alcampo,5.15
44,Alcampo,5.20
45,Alcampo,5.28
46,Alcampo,0.90
47,Alcampo,0.91
48,Alcampo,0.92
49,Alcampo,5.40
50,Alcampo,5.46
51,Alcampo,5.51
52,Alcampo,0.99
53,Alcampo,1.10
54,Alcampo,1.12
55,Alcampo,5.94
56,Alcampo,6.60
57,Alcampo,6.73
58,Alcampo,0.96
59,Alcampo,0.98
60,Alcampo,0.99
61,Alcampo,5.76
62,Alcampo,5.81
63,Alcampo,5.88
64,Alcampo,5.94
65,Alcampo,0.81
66,Alcampo,0.83
67,Alcampo,4.86
68,Alcampo,4.96
69,Alcampo,4.98
70,Alcampo,0.96
71,Alcampo,0.98
72,Alcampo,0.99
73,Alcampo,5.76
74,Alcampo,5.88
75,Alcampo,5.94
76,Alcampo,0.88
77,Alcampo,0.90
78,Alcampo,0.91
79,Alcampo,5.28
80,Alcampo,5.33
81,Alcampo,5.39
82,Alcampo,5.46
83,Alcampo,1.43
84,Alcampo,1.39
85,Alcampo,5.53
86,Alcampo,5.56
87,Alcampo,1.48
88,Alcampo,1.49
89,Alcampo,5.96
90,Alcampo,1.05
91,Alcampo,1.07
92,Alcampo,3.38
93,Alcampo,5.72
94,Alcampo,6.90
95,Alcampo,7.02
96,Alcampo,6.00
97,Alcampo,6.12
98,Alcampo,6.24
99,Alcampo,9.54
100,Alcampo,9.96
101,Alcampo,10.08
102,Alcampo,9.54
103,Alcampo,9.93
104,Alcampo,9.96
105,Alcampo,10.08
106,Alcampo,5.88
107,Alcampo,6.00
108,Alcampo,6.12
109,Alcampo,14.10
110,Alcampo,9.00
111,Alcampo,10.14
112,Alcampo,10.50
113,Alcampo,6.48
114,Alcampo,6.54
115,Alcampo,6.60
116,Alcampo,6.66
117,Alcampo,15.00
118,Alcampo,4.50
119,Alcampo,4.62
120,Alcampo,7.14
121,Alcampo,7.26
122,Alcampo,1.19
123,Alcampo,1.21
124,Alcampo,6.24
125,Alcampo,6.30
126,Alcampo,6.42
127,Alcampo,9.90
128,Alcampo,10.32
129,Alcampo,10.44
130,Alcampo,4.50
131,Alcampo,4.62
132,Alcampo,1.15
133,Alcampo,1.17
134,Alcampo,9.75
135,Alcampo,15.00
136,Alcampo,9.00
137,Alcampo,1.62
138,Alcampo,1.00
139,Alcampo,1.02
140,Alcampo,1.04
141,Alcampo,6.00
142,Alcampo,1.59
143,Alcampo,1.66
144,Alcampo,1.68
145,Alcampo,6.54
146,Alcampo,6.66
147,Alcampo,1.09
148,Alcampo,1.11
149,Alcampo,0.75
150,Alcampo,0.77
151,Alcampo,4.50
152,Alcampo,4.62
153,Alcampo,0.98
154,Alcampo,1.00
155,Alcampo,1.02
156,Alcampo,1.59
157,Alcampo,1.66
158,Alcampo,1.68
159,Alcampo,2.35
160,Alcampo,1.50
161,Alcampo,1.35
162,Alcampo,8.10
163,Alcampo,1.69
164,Alcampo,1.75
165,Alcampo,2.18
166,Alcampo,2.35
167,Alcampo,1.08
168,Alcampo,1.09
169,Alcampo,1.10
170,Alcampo,1.11
171,Alcampo,2.50
172,Alcampo,0.75
173,Alcampo,0.77
174,Alcampo,1.65
175,Alcampo,1.72
176,Alcampo,1.74
177,Alcampo,1.04
178,Alcampo,1.05
179,Alcampo,1.07
180,Alcampo,2.50
181,Alcampo,0.75
182,Alcampo,0.77
183,Alcampo,1.50
184,Alcampo,1.62
185,Alcampo,8.10
186,Alcampo,1.35
187,Alcampo,1.00
188,Alcampo,1.15
189,Alcampo,1.27
190,Alcampo,1.29
191,Alcampo,1.27
192,Alcampo,1.29
193,Alcampo,6.00
194,Alcampo,6.90
195,Alcampo,7.62
196,Alcampo,7.74
197,Alcampo,0.50
198,Alcampo,1.05
199,Alcampo,1.24
200,Alcampo,1.27
201,Alcampo,1.29
202,Alcampo,3.00
203,Alcampo,6.30
204,Alcampo,7.44
205,Alcampo,7.62
206,Alcampo,7.74
207,Alcampo,6.90
208,Alcampo,7.62
209,Alcampo,7.74
210,Alcampo,1.28
211,Alcampo,1.30
212,Alcampo,1.28
213,Alcampo,1.30
214,Alcampo,7.80
215,Alcampo,7.80
216,Alcampo,1.28
217,Alcampo,1.30
218,Alcampo,7.80
219,Alcampo,9.00
220,Alcampo,1.50
221,Alcampo,1.90
222,Alcampo,7.50
223,Alcampo,0.95
224,Alcampo,5.70
225,Alcampo,0.95
226,Alcampo,5.70
227,Alcampo,0.95
228,Alcampo,5.70
229,Alcampo,1.05
230,Alcampo,1.07
231,Alcampo,3.38
232,Alcampo,5.72
233,Alcampo,0.77
234,Alcampo,0.88
235,Alcampo,0.89
236,Alcampo,0.80
237,Alcampo,4.62
238,Alcampo,0.50
239,Alcampo,0.75
240,Alcampo,0.79
241,Alcampo,0.84
242,Alcampo,3.00
243,Alcampo,4.50
244,Alcampo,4.74
245,Alcampo,5.04
246,Alcampo,5.28
247,Alcampo,5.34
248,Alcampo,0.79
249,Alcampo,0.84
250,Alcampo,0.89
251,Alcampo,0.92
252,Alcampo,4.74
253,Alcampo,5.04
254,Alcampo,5.34
255,Alcampo,5.52
256,Alcampo,4.80
257,Alcampo,0.50
258,Alcampo,0.79
259,Alcampo,0.87
260,Alcampo,3.00
261,Alcampo,4.74
262,Alcampo,5.22
263,Alcampo,3.15
264,Alcampo,3.39
265,Alcampo,3.90
266,Alcampo,4.09
267,Alcampo,4.15
268,Alcampo,1.15
269,Alcampo,1.40
270,Alcampo,10.08
271,Alcampo,10.20
272,Alcampo,1.68
273,Alcampo,1.70
274,Alcampo,1.00
275,Alcampo,6.00
276,Alcampo,1.15
277,Alcampo,1.40
278,Alcampo,1.68
279,Alcampo,1.70
280,Alcampo,10.08
281,Alcampo,10.20
282,Alcampo,1.00
283,Alcampo,6.00
284,Alcampo,2.79
285,Alcampo,1.15
286,Alcampo,1.40
287,Alcampo,1.68
288,Alcampo,1.70
289,Alcampo,10.08
290,Alcampo,10.20
291,Alcampo,6.78
292,Alcampo,6.84
293,Alcampo,6.90
294,Alcampo,7.32
295,Alcampo,1.13
296,Alcampo,1.14
297,Alcampo,1.15
298,Alcampo,1.22
299,Alcampo,1.19
300,Alcampo,1.25
301,Alcampo,1.50
302,Alcampo,7.14
303,Alcampo,7.50
304,Alcampo,9.00
305,Alcampo,6.90
306,Alcampo,8.40
307,Alcampo,1.13
308,Alcampo,1.14
309,Alcampo,1.15
310,Alcampo,1.22
311,Alcampo,6.78
312,Alcampo,6.84
313,Alcampo,6.90
314,Alcampo,7.32
315,Alcampo,6.90
316,Alcampo,8.40
317,Alcampo,1.13
318,Alcampo,1.14
319,Alcampo,1.15
320,Alcampo,1.22
321,Alcampo,1.19
322,Alcampo,1.25
323,Alcampo,1.50
324,Alcampo,7.14
325,Alcampo,7.50
326,Alcampo,9.00
327,Alcampo,6.78
328,Alcampo,6.84
329,Alcampo,6.90
330,Alcampo,7.32
331,Alcampo,6.90
332,Alcampo,8.40
333,Alcampo,1.00
334,Alcampo,6.00
335,Alcampo,1.00
336,Alcampo,1.00
337,Alcampo,6.00
338,Alcampo,3.00
339,Alcampo,5.70
340,Alcampo,6.00
341,Alcampo,6.30
342,Alcampo,8.70
343,Alcampo,1.45
344,Alcampo,0.50
345,Alcampo,0.95
346,Alcampo,1.00
347,Alcampo,1.05
348,Alcampo,5.70
349,Alcampo,6.00
350,Alcampo,6.30
351,Alcampo,8.70
352,Alcampo,0.95
353,Alcampo,1.00
354,Alcampo,1.05
355,Alcampo,1.45
356,Alcampo,1.68
357,Alcampo,0.95
358,Alcampo,1.00
359,Alcampo,1.05
360,Alcampo,5.70
361,Alcampo,6.00
362,Alcampo,6.30
363,Alcampo,8.70
364,Alcampo,1.45
365,Alcampo,1.49
366,Alcampo,1.55
367,Alcampo,1.68
368,Alcampo,1.65
369,Alcampo,2.20
370,Alcampo,1.82
371,Alcampo,2.05
372,Alcampo,2.25
373,Alcampo,6.00
374,Alcampo,7.50
375,Alcampo,1.35
376,Alcampo,1.44
377,Alcampo,1.47
378,Alcampo,1.71
379,Alcampo,1.74
380,Alcampo,1.75
381,Alcampo,1.35
382,Alcampo,1.44
383,Alcampo,1.47
384,Alcampo,7.44
385,Alcampo,7.59
386,Alcampo,1.35
387,Alcampo,1.44
388,Alcampo,1.47
389,Alcampo,7.44
390,Alcampo,7.59
391,Alcampo,9.54
392,Alcampo,10.50
393,Alcampo,11.40
394,Alcampo,1.59
395,Alcampo,1.75
396,Alcampo,1.85
397,Alcampo,1.90
398,Alcampo,0.90
399,Alcampo,0.90
400,Alcampo,5.40
401,Alcampo,5.94
402,Alcampo,1.00
403,Alcampo,7.44
404,Alcampo,7.50
405,Alcampo,7.68
406,Alcampo,8.40
407,Alcampo,9.00
408,Alcampo,1.09
409,Alcampo,1.25
410,Alcampo,1.38
411,Alcampo,6.54
412,Alcampo,7.50
413,Alcampo,8.28
414,Alcampo,1.24
415,Alcampo,1.25
416,Alcampo,1.37
417,Alcampo,1.40
418,Alcampo,1.50
419,Alcampo,1.09
420,Alcampo,1.25
421,Alcampo,1.38
422,Alcampo,6.54
423,Alcampo,7.50
424,Alcampo,8.28
425,Alcampo,1.70
426,Alcampo,1.74
427,Alcampo,1.61
428,Alcampo,1.74
429,Alcampo,2.38
430,Alcampo,2.45
431,Alcampo,1.24
432,Alcampo,1.25
433,Alcampo,1.37
434,Alcampo,1.40
435,Alcampo,1.50
436,Alcampo,7.44
